                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        6794      4.6625924414028488E-037      5.0261649495098315E-034      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      donor_index                      period_days                binary_separation                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                          v_orb_1                          v_orb_2                         lg_F_irr                        log_J_orb                     log_abs_Jdot                  log_abs_jdot_mb                  log_abs_jdot_gr                  log_abs_jdot_ml                log_abs_jdot_tide                  log_abs_jdot_ls               log_abs_extra_jdot 
                               1          1.0695556732008628E+009                                1          1.8534405826844476E+000          6.3495827310648316E+000          1.1607600655922841E-001          6.7313580941285156E-001          2.9963129271037237E-001          4.9938546352158273E+000         -6.1260385886520530E-001         -8.6520716789271157E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.7323143823204012E+002          1.6070057441963279E-001          9.1607056422022133E+000          4.9149953013353048E+001          3.2218312461793026E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2218312461793026E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               1          1.0139111346401725E+009                                1          1.9958487352498795E+000          6.6707985070969196E+000          1.1948051726136069E-001          6.7941903231101830E-001          3.1478918611659296E-001          5.2464861796784792E+000         -6.2044275174971542E-001         -8.7050017687216041E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6900921816072423E+002          1.5678377272525615E-001          9.1376657428890944E+000          4.9160669331724201E+001          3.1358825935426051E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1358825935426051E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               2          1.0250400423523107E+009                                1          1.9923452537749040E+000          6.6629896782213400E+000          1.1934696279640875E-001          6.7178609079692142E-001          3.1442069426608177E-001          5.2403446491358290E+000         -6.2042268536112910E-001         -8.7180497929507295E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6910822608899221E+002          1.5687561881917042E-001          9.1157256078202380E+000          4.9160414990524885E+001          3.1382610493991017E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1382610493991017E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               3          1.0361630524343487E+009                                1          1.9890164225013558E+000          6.6555658814385810E+000          1.1922587877399402E-001          6.7085934615148712E-001          3.1407037174552388E-001          5.2345059407443140E+000         -6.2038482614145785E-001         -8.7183903242335503E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6920251373023365E+002          1.5696308607259049E-001          9.1144627030964891E+000          4.9160172913649731E+001          3.1361129084287995E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1361129084287995E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               4          1.0472860625163866E+009                                1          1.9856920107929459E+000          6.6481478065413739E+000          1.1916582508857879E-001          6.7051287124640147E-001          3.1372031923577431E-001          5.2286717325327183E+000         -6.2015267172088862E-001         -8.7176229345696332E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6929688640529764E+002          1.5705063220882928E-001          9.1152609340939303E+000          4.9159930753497790E+001          3.1361036341594783E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1361036341594783E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               5          1.0584090725984247E+009                                1          1.9823576430595713E+000          6.6407033562966573E+000          1.1911369070439126E-001          6.7031477773981440E-001          3.1336902209628981E-001          5.2228167804932184E+000         -6.1989321756318705E-001         -8.7165646318603707E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6939175355730248E+002          1.5713863705354061E-001          9.1162840476852107E+000          4.9159687460532830E+001          3.1362820485728118E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1362820485728118E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               6          1.0717566846968703E+009                                1          1.9783403298737290E+000          6.6317285869712252E+000          1.1905314024768912E-001          6.7018601750093876E-001          3.1294551052889186E-001          5.2157582547137959E+000         -6.1957230175156042E-001         -8.7150746166288451E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6950633438637749E+002          1.5724492956740388E-001          9.1176310446705298E+000          4.9159393792167826E+001          3.1365098375834702E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1365098375834702E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               7          1.0877738192150052E+009                                1          1.9734921919655617E+000          6.6208896426967749E+000          1.1898280215736091E-001          6.7012012673501542E-001          3.1243403016520116E-001          5.2072335824009226E+000         -6.1917463954087171E-001         -8.7130976244279790E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6964502559601198E+002          1.5737358841410448E-001          9.1193545991265967E+000          4.9159038594828246E+001          3.1368205239719227E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1368205239719227E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               8          1.1069943806367667E+009                                1          1.9676305497624926E+000          6.6077729542445587E+000          1.1890143274986323E-001          6.7028804590244662E-001          3.1181506503261242E-001          5.1969174973603565E+000         -6.1867964032646261E-001         -8.7102199597301611E-001          9.2748288844385471E-004          9.9980473175649565E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.6981331813499600E+002          1.5752970734933514E-001          9.1213568082310541E+000          4.9158607976295137E+001          3.1372254104362934E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.1372254104362934E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
