Planet Name	Mass (M_oplus)	Radius (R_oplus)	H/He Envelope Fraction	NAME	MSINI	A	PER	ECC	OM	T0	K	ORBREF	ORBURL	FIRSTREF	FIRSTURL
55Cnce	8.32	1.99	0.14%	55 Cnc e	0.0261924	0.0154393	0.736546	0	90	2455568.011	6.3	Endl 2012	http://adsabs.harvard.edu/abs/2012ApJ...759...19E	McArthur 2004	http://adsabs.harvard.edu/abs/2004ApJ...614L..81M
CoRoT-7b	7.42	1.67	>0.03%	CoRoT-7 b	0.0137858	0.0171898	0.85359163	0	90	2454398.077	3.1	Haywood 2014	http://adsabs.harvard.edu/abs/2014MNRAS.443.2517H	Queloz 2009 ; Leger 2009	http://adsabs.harvard.edu/abs/2009A%26A...506..303Q ; http://adsabs.harvard.edu/abs/2009A%26A...506..287L
CoRoT-8b	68.6	6.38	28.60%	CoRoT-8 b	0.215994	0.0633825	6.21229	0	90	2454238.974	26	Borde 2010	http://adsabs.harvard.edu/abs/2010A%26A...520A..66B	Borde 2010	http://adsabs.harvard.edu/abs/2010A%26A...520A..66B
GJ1214b	6.46	2.67	3.83%	GJ 1214 b	0.0203507	0.0143253	1.58040482	0	90	2454980.749	12.2	Carter 2011	http://adsabs.harvard.edu/abs/2011ApJ...730...82C	Charbonneau 2009	http://adsabs.harvard.edu/abs/2009Natur.462..891C
GJ3470b	13.9	4.19	12.80%	GJ 3470 b	0.0439856	0.0356088	3.336649	0	90	2456340.726	9.01	Bonfils 2012	http://adsabs.harvard.edu/abs/2012A%26A...546A..27B	Bonfils 2012	http://adsabs.harvard.edu/abs/2012A%26A...546A..27B
GJ436b	23	4.22	12.00%	GJ 436 b	0.0725512	0.0287188	2.64385	0.16	351	2451551.716	18.34	Maness 2007	http://adsabs.harvard.edu/abs/2007PASP..119...90M	Butler 2004	http://adsabs.harvard.edu/abs/2004ApJ...617..580B
HAT-P-11b	26.2	4.73	15.10%	HAT-P-11 b	0.0825071	0.0525443	4.8878162	0.198	355.2	2454609.801	11.6	Bakos 2010	http://adsabs.harvard.edu/abs/2010ApJ...710.1724B	Bakos 2010	http://adsabs.harvard.edu/abs/2010ApJ...710.1724B
HAT-P-12b	66.9	10.7	80.30%	HAT-P-12 b	0.210772	0.0383737	3.2130598	0	90	2454419.196	35.8	Hartman 2009	http://adsabs.harvard.edu/abs/2009ApJ...706..785H	Hartman 2009	http://adsabs.harvard.edu/abs/2009ApJ...706..785H
HAT-P-18b	62.6	11.1	87.10%	HAT-P-18 b	0.197162	0.0559503	5.508023	0.084	120	2454715.411	27.1	Hartman 2011	http://adsabs.harvard.edu/abs/2011ApJ...726...52H	Hartman 2011	http://adsabs.harvard.edu/abs/2011ApJ...726...52H
HAT-P-19b	92.8	12.6	100.00%	HAT-P-19 b	0.292129	0.0466409	4.008778	0.067	256	2454798.988	42	Hartman 2011	http://adsabs.harvard.edu/abs/2011ApJ...726...52H	Hartman 2011	http://adsabs.harvard.edu/abs/2011ApJ...726...52H
HAT-P-26b	18.6	6.33	31.70%												
HAT-P-38b	85	9.24	62.80%												
HD 97658b	7.86	2.34	0.99%												
Kepler-10b	4.51	1.41	>0.01%												
Kepler-10c	17.2	2.35	0.47%												
Kepler-11b	1.9	1.8	0.51%												
Kepler-11c	2.9	2.87	6.10%												
Kepler-11d	7.3	3.12	4.57%												
Kepler-11e	8	4.19	15.00%												
Kepler-11f	2	2.49	2.28%												
Kepler-18b	6.87	2	0.31%												
Kepler-18c	17.2	5.48	23.60%												
Kepler-18d	16.3	6.97	37.50%												
Kepler-20b	8.45	1.9	>0.28%												
Kepler-20c	15.7	3.06	3.45%												
Kepler-34b	69.9	8.56	53.20%												
Kepler-35b	40.3	8.16	47.00%												
Kepler-36b	4.46	1.48	>0.04%												
Kepler-36c	8.1	3.67	7.80%												
Kepler-4b	24.5	4	7.70%												
Kepler-51b	2.1	7.1	16.90%												
Kepler-68b	7.59	2.3	0.35%												
Kepler-68b	7.6	2.3	0.76%												
Kepler-78b	1.69	1.2	>0.01%												
Kepler-79b	10.9	3.47	6.56%												
Kepler-79c	5.9	3.72	8.85%												
Kepler-79d	6	7.16	36.70%												
Kepler-79e	4.1	3.49	7.99%												
Kepler-87c	6.4	6.15	34.50%												
Kepler-9b	79	9.43	62.50%												
Kepler-9c	53.5	9.22	64.90%												
WASP-21b	95.4	11.9	100.00%												
WASP-29b	77.2	8.87	60.00%												
WASP-39b	90.3	14.2	100.00%												
WASP-77Ab	37.9	13.5	100.00%												
															
"Notes. Taken from exoplanets.org (Wright et al. 2011). Here we list each planets name, mass, radius, and the fraction of its mass in an H/He envelope according to our thermal evolution models. Planets with upper limits correspond to potentially rocky planets. The upper limit comes from the observed uncertainties on mass and radius and assumes a maximally iron-rich core (Marcus et al. 2010)."															
