                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        6794      4.6691958412018451E-037      5.0251644554842694E-034      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      donor_index                      period_days                binary_separation                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                          v_orb_1                          v_orb_2                         lg_F_irr                        log_J_orb                     log_abs_Jdot                  log_abs_jdot_mb                  log_abs_jdot_gr                  log_abs_jdot_ml                log_abs_jdot_tide                  log_abs_jdot_ls               log_abs_extra_jdot 
                               1          2.0509435985160754E+009                                1          6.4843939542817342E-001          3.1524175237835186E+000          1.2308500946946692E-001          6.8068944152249011E-001          1.4883869126513424E-001          2.4792505323769420E+000         -1.7303082670749181E-001         -7.2544547933609194E-001          9.2879643673187101E-004          9.9960571348493077E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.4582943527457240E+002          2.2841556470382560E-001          9.7985424526762923E+000          4.8998473367350499E+001          3.2204429193306098E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2204429193306098E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               2          2.0916984773289359E+009                                1          5.9491435794072500E-001          2.9764626593247105E+000          1.2294587750917056E-001          6.7779714909369149E-001          1.4053113316085392E-001          2.3408690559092427E+000         -1.2513423364739409E-001         -7.1045063482612403E-001          9.2879643673187101E-004          9.9960571348493077E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.5299126739359087E+002          2.3507007263918514E-001          9.8423410649902241E+000          4.8986001720123042E+001          3.2341100831159309E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2341100831159309E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               3          2.1406043319043684E+009                                1          5.1280105510163998E-001          2.6958563378765827E+000          1.2321186622515856E-001          6.7776638612529116E-001          1.2728254621766985E-001          2.1201833863905555E+000         -3.1981446894925387E-002         -6.8032652718822839E-001          9.2879643673187101E-004          9.9960571348493077E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6583207271452318E+002          2.4700127117672663E-001          9.9292210613778575E+000          4.8964499873311986E+001          3.2481514216301470E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2481514216301470E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               3          2.1063702337015657E+009                                1          5.6957770924313300E-001          2.8913419760520149E+000          1.2404753708826015E-001          6.7770403152427361E-001          1.3651223306201912E-001          2.2739250366833770E+000         -9.1308271018437748E-002         -7.0196729417574122E-001          9.2879643673187101E-004          9.9960571348493077E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.5668826785833949E+002          2.3850518791707154E-001          9.8675551267345725E+000          4.8979701231481577E+001          3.2478851563221767E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2478851563221767E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               4          2.1181076387996695E+009                                1          5.4600613331177383E-001          2.8110106154258210E+000          1.2347903665560454E-001          6.7767520102684431E-001          1.3271945672673210E-001          2.2107476285207603E+000         -6.9623703253649444E-002         -6.9346333688921080E-001          9.2879643673187101E-004          9.9960571348493077E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6033017310424964E+002          2.4188911076753589E-001          9.8922636287522892E+000          4.8973582743677945E+001          3.2556821736868002E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2556821736868002E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               5          2.1274975628781526E+009                                1          5.2428854282151927E-001          2.7359682278730277E+000          1.2362601793221274E-001          6.7767296887391426E-001          1.2917639472161943E-001          2.1517297865352214E+000         -4.2967422967392713E-002         -6.8505665854766873E-001          9.2879643673187101E-004          9.9960571348493077E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6387620231777385E+002          2.4518394917595807E-001          9.9159783698881050E+000          4.8967707025704712E+001          3.2630151211008958E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2630151211008958E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               6          2.1368874869566360E+009                                1          4.9948955244742788E-001          2.6489986931915537E+000          1.2382279479817139E-001          6.7768591209380891E-001          1.2507020268827723E-001          2.0833317194857681E+000         -9.9736616979414477E-003         -6.7471051021049921E-001          9.2879643673187101E-004          9.9960571348493077E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6817289352542036E+002          2.4917627477950652E-001          9.9442662721209434E+000          4.8960692372868806E+001          3.2700652674195673E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2700652674195673E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               7          2.1415824489958773E+009                                1          4.9501881815847143E-001          2.6331682561127994E+000          1.2397931760150283E-001          6.7695109386995467E-001          1.2404449099757577E-001          2.0711642519434896E+000         -5.2540338993537731E-004         -6.7315431731948183E-001          9.2248290648587884E-004          9.9961202701517682E-001         -1.1871359819794394E+001         -1.1871359819794394E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6897950347614756E+002          2.4822529886191325E-001          9.9507291003597569E+000          4.8956431336160058E+001          3.2779550939775035E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2779550939775035E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               8          2.1445863581413081E+009                                1          4.9648172571951971E-001          2.6383534959231749E+000          1.2390979437918452E-001          6.7686013858791005E-001          1.2398474418433110E-001          2.0755511010995105E+000         -6.0450828559315461E-004         -6.7388895497232160E-001          9.1563252405375774E-004          9.9961887739760891E-001         -1.1641971975838532E+001         -1.1641971975838532E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          2.6871689802118561E+002          2.4613974100967992E-001          9.9487413829573441E+000          4.8953624381983417E+001          3.2788681297571763E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2788681297571763E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
