NAME,MASS (Mearth),R (Rearth),A (AU),PER (day)
Kepler-444 b,0.042589968,0.411369593,0.0419153,3.6001053
Kepler-444 c,0.086845932,0.507766827,0.0489676,4.5458841
Kepler-42 d,0.12862229,0.569491321,0.0150222,1.865169
Kepler-141 b,0.249949099,0.689999073,0.041677,3.107675
Kepler-42 c,0.303363265,0.7293482,0.00585017,0.45328509
Kepler-124 b,0.304310677,0.729998321,0.0443423,3.410493
Kepler-125 c,0.319157798,0.739998973,0.0629914,5.774464
Kepler-42 b,0.382714763,0.779303264,0.0112809,1.2137672
Kepler-220 b,0.438469332,0.809999058,0.05062,4.159807
Kepler-388 b,0.438469332,0.809999058,0.0422619,3.173315
Kepler-32 f,0.456419614,0.819267764,0.0130732,0.74296
Kepler-314 b,0.477872235,0.829998122,0.0356743,2.461069
Kepler-271 b,0.61180969,0.889998675,0.0588746,5.217738
Kepler-303 b,0.61180969,0.889998675,0.0304113,1.937055
Kepler-353 b,0.61180969,0.889998675,0.0631426,5.795278
Kepler-119 c,0.688282723,0.919998391,0.050338,4.125103
Kepler-398 b,0.715274888,0.929997922,0.0499821,4.081423
Kepler-296 b,0.743042525,0.939998575,0.0461525,3.621457
Kepler-381 b,0.893986346,0.989998475,0.0619291,5.629021
Kepler-392 b,0.92669921,0.999998007,0.0598046,5.341853
Kepler-322 b,0.960292426,1.00999866,0.0273702,1.653888
Kepler-197 b,0.994775528,1.019998191,0.061711,5.599308
Kepler-336 b,0.994775528,1.019998191,0.0313231,2.024823
Kepler-327 c,1.030129448,1.029997723,0.0588339,5.212333
Kepler-374 b,1.030129448,1.029997723,0.0299991,1.897806
Kepler-316 b,1.141158681,1.05999856,0.0335097,2.240508
Kepler-186 b,1.176118509,1.069044207,0.0378277,3.8867907
Kepler-26 d,1.179843319,1.069998092,0.0454914,3.543919
Kepler-376 b,1.179843319,1.069998092,0.0566146,4.920199
Kepler-115 b,1.259790088,1.089998276,0.0351175,2.403679
Kepler-249 b,1.259790088,1.089998276,0.0434366,3.306539
Kepler-374 c,1.301058575,1.099997808,0.0432285,3.282807
Kepler-327 b,1.34321377,1.10999846,0.0365246,2.549575
Kepler-334 b,1.386249318,1.119997992,0.0607596,5.470319
Kepler-169 b,1.430187464,1.129999765,0.0429455,3.250619
Kepler-250 b,1.430187464,1.129999765,0.0505253,4.148141
Kepler-369 b,1.430187464,1.129999765,0.0382537,2.732756
Kepler-446 c,1.439559876,1.132107054,0.0247723,3.036179
Kepler-324 b,1.475012319,1.139998176,0.0524333,4.385315
Kepler-363 b,1.567392073,1.159994998,0.046094,3.614568
Kepler-185 b,1.614966042,1.169993409,0.0271381,1.6329
Kepler-341 b,1.663525242,1.180003028,0.0587074,5.195528
Kepler-380 b,1.71297115,1.190001439,0.0487448,3.930821
Kepler-402 b,1.867004149,1.219996672,0.0495511,4.028751
Kepler-286 b,1.974511974,1.239993493,0.0289196,1.796302
Kepler-150 b,2.029792996,1.250003113,0.0444944,3.428054
Kepler-114 b,2.086002042,1.260001524,0.0586548,5.188549
Kepler-211 b,2.086002042,1.260001524,0.0504476,4.138575
Kepler-181 b,2.143199497,1.269999935,0.0419466,3.137873
Kepler-173 b,2.260604132,1.289996756,0.0514597,4.263742
Kepler-312 b,2.260604132,1.289996756,0.0286627,1.772419
Kepler-374 d,2.382048215,1.309993578,0.0574402,5.028219
Kepler-157 b,2.444372053,1.320003198,0.028229,1.732342
Kepler-292 b,2.444372053,1.320003198,0.0368224,2.580827
Kepler-299 b,2.444372053,1.320003198,0.0400468,2.927128
Kepler-382 b,2.444372053,1.320003198,0.0592083,5.262155
Kepler-144 b,2.507652518,1.330001609,0.0637947,5.885273
Kepler-251 b,2.507652518,1.330001609,0.0556186,4.790936
