NAME,MASS,R,A,PER,MULT,DENSITY
CoRoT-3 b,6945.850261,11.32107054,0.0573788,4.2568,0,26.4
HAT-P-20 b,2316.733724,9.718186294,0.03616,2.875317,0,13.78
CoRoT-27 b,3301.542523,11.2874436,0.0466557,3.57532,0,13.4823
Kepler-75 b,3173.332124,11.54525015,0.0807413,8.884924,0,11
Kepler-99 b,6.149751431,1.480000189,0.0500668,4.60358,0,10.9
Kepler-113 b,4.26001386,1.820002201,0.0502736,4.754,0,10.73
WASP-18 b,3241.920127,14.20177859,0.0201401,0.9414529,0,10.2809
CoRoT-20 b,1347.542432,9.415543814,0.0901485,9.24285,0,8.87
CoRoT-14 b,2445.484411,12.217789,0.0269122,1.51214,0,7.3
HAT-P-2 b,2819.243102,12.96879071,0.0679088,5.6334729,0,7.29
Kepler-78 b,1.859227177,1.158963772,0.00914662,0.35500744,0,7.25116
Kepler-14 b,2671.703097,12.73340211,0.0806879,6.790123,0,7.1
WASP-89 b,1875.118007,11.65733996,0.0426698,3.3564227,0,7.01
CoRoT-7 b,4.44943256,1.613969926,0.0171898,0.85359163,0,6.21
Kepler-19 b,5.273912413,2.208998669,0.0845828,9.2869944,0,5.53257
Kepler-97 b,3.398762624,1.480000189,0.036125,2.58664,0,5.44
Kepler-412 b,298.871881,14.85189947,0.0295963,1.720861232,0,5.38499
HAT-P-21 b,1296.161021,11.47799627,0.0494951,4.124481,0,4.68
WASP-14 b,2444.753433,14.35870432,0.0367693,2.243752,0,4.65633
HIP 116454 b,11.81959978,2.589274549,0.0784741,9.1205,0,4.17
Kepler-93 b,2.589890745,1.502003418,0.0534149,4.72674,0,4.17
XO-3 b,4222.161901,13.64132955,0.0477112,3.1915426,0,3.92729
WASP-32 b,1097.617806,12.3298788,0.0390315,2.718661,0,3.44064
HD 97658 b,7.86246515,2.339998026,0.0796373,9.4909,0,3.44
HATS-2 b,428.7822813,13.09208949,0.0229834,1.354133,0,3.39
WASP-10 b,1014.292646,12.10569919,0.0384536,3.0927616,0,3.11
CoRoT-23 b,980.5595912,11.76942977,0.0483417,3.6313,0,3
HAT-P-25 b,180.2595435,13.33868707,0.0465813,3.652836,0,3
WASP-43 b,564.4709054,10.42435208,0.0142363,0.813475,0,2.9393
CoRoT-17 b,781.8320423,11.43316035,0.0480499,3.7681,0,2.82
WASP-8 b,679.4823807,11.634922,0.080153,8.158715,0,2.53485
HAT-P-16 b,1335.62431,14.44837616,0.0413275,2.77596,0,2.42
OGLE2-TR-L9 b,1453.826664,18.04645898,0.0413279,2.4855335,0,2.4027
HAT-P-34 b,1059.600583,13.41714993,0.0677467,5.452654,0,2.4
WASP-59 b,273.0346618,8.686960066,0.0696866,7.919585,0,2.3868
CoRoT-13 b,416.6543994,9.919947947,0.051069,4.03519,0,2.34
Kepler-43 b,1027.002133,13.45077688,0.0449294,3.024095,0,2.33
CoRoT-6 b,938.7158562,13.06967153,0.0854177,8.886593,0,2.32
Qatar-2 b,789.4850663,12.82307396,0.0215077,1.3371182,0,2.20116
CoRoT-18 b,1108.073972,14.68376476,0.0295483,1.9000693,0,2.2
HAT-P-31 b,689.3569429,11.99360938,0.0611921,5.005425,0,2.18
Kepler-98 b,3.549852641,1.989997603,0.0260305,1.54168,0,2.18
HAT-P-22 b,683.7411233,12.10569919,0.0414094,3.21222,0,2.11
