NAME,A,PER,ECC,MASS,R,MSTAR,RSTAR,VSINI
#,au,day,,mjupiter,rjupiter,msun,rsun,km/s
Kepler-107d,0.0780099,7.958203,,0.00371234,0.095459,,1.411,
Kepler-427b,0.091351,10.290994,0,0.29,1.23,0.96,1.35,3
WASP-14b,0.0367693,2.243752,0.091,7.69234,1.281,1.31,1.31,4.9
Kepler-50b,0.0825598,7.8125124,,0.0164915,0.196096,1.23,1.88,
Kepler-20b,0.0453704,3.6961219,0,0.0266646,0.170247,0.912,0.944,
HAT-P-27b,0.0399488,3.039577,0,0.617485,1.02,0.92,0.87,0.6
Kepler-181b,0.0419466,3.137873,,0.00674351,0.113302,,0.749,
Kepler-207b,0.0269045,1.611865,,0.0117295,0.140066,,1.588,
HD219828b,0.0515012,3.8334999,0,0.0622185,,1.24,1.4682,2.9
WASP-21b,0.0521087,4.322482,0,0.300272,1.07,1.01,1.06,1.5
Kepler-186c,0.0574114,7.267302,0.03,0.00636705,0.111418,0.478,0.472,
Kepler-224d,0.0988375,11.349393,,0.0174811,0.205192,,0.676,
WASP-25b,0.0473714,3.764825,0,0.57847,1.22,1,0.92,3
Kepler-186d,0.0860831,13.342996,0.03,0.00934866,0.12479,0.478,0.472,
Kepler-211c,0.0649112,6.04045,,0.00711292,0.115086,,0.816,
Kepler-294c,0.0690438,6.6264,,0.0223552,0.24177,,0.976,
Kepler-349b,0.0641159,5.929778,,0.0139923,0.169507,,0.927,
Kepler-361b,0.081426,8.486616,,0.010538,0.12936,,1.343,
Kepler-372b,0.0705863,6.849692,,0.00850717,0.121331,,1.137,
Kepler-26d,0.0454914,3.543919,,0.00371234,0.095459,,0.571,
Kepler-159b,0.0916828,10.139623,,0.0183139,0.212329,,0.663,
HD156668b,0.0499846,4.6455,0,0.0130582,,0.772,0.728691,0.5
Kepler-32f,0.0130732,0.74296,0,0.00143611,0.0730903,0.54,0.53,
WASP-103b,0.0198682,0.925542,0,1.48791,1.528,1.22,1.436,10.6
Kepler-256c,0.0441473,3.38802,,0.0160511,0.19181,,1.301,
Kepler-62b,0.0552794,5.714932,0.0707107,0,0.116766,0.69,0.64,0.4
Kepler-238c,0.0657332,6.155557,,0.0184218,0.213222,,1.43,
Kepler-49c,0.07889,10.9129343,,0.0202381,0.227293,0.55,0.53,
WASP-19b,0.0163152,0.78884,0.0046,1.13339,1.386,0.93,0.99,4
Kepler-26b,0.0902469,12.282356,0,0.0397121,0.320884,0.65,0.59,1.9
Kepler-374c,0.0432285,3.282807,,0.00409374,0.0981354,,0.911,
Kepler-395b,0.0719854,7.054346,,0.00324127,0.0918904,,0.556,
Kepler-80e,0.0544864,4.645387,,0.0121773,0.146311,,0.637,
Kepler-83d,0.0585134,5.169796,,0.014298,0.173075,,0.594,
